learner on mps, 10 workers, sims=16, study=on
[25/10000] warmup | plies 131 decisive 40% | buffer 3550 steps 0 | 166.3 g/min eta 1.0h
[975/10000] loss 2.245 (pi 2.220 v 0.022 q 0.002 c 0.001) | plies 142 decisive 15% | buffer 145055 steps 1815 | 190.0 g/min eta 0.8h
[1000/10000] loss 2.247 (pi 2.222 v 0.023 q 0.002 c 0.001) | plies 140 decisive 16% | buffer 148616 steps 1861 | 190.6 g/min eta 0.8h
  EVAL @1000: q-greedy 1-23-0 | policy-greedy 0-24-0 | search 1-7-0 (eval 30s)
[1025/10000] loss 2.249 (pi 2.224 v 0.023 q 0.002 c 0.001) | plies 141 decisive 15% | buffer 152360 steps 1909 | 171.3 g/min eta 0.9h
[1050/10000] loss 2.251 (pi 2.225 v 0.023 q 0.002 c 0.001) | plies 141 decisive 16% | buffer 156101 steps 1959 | 174.0 g/min eta 0.9h
[1075/10000] loss 2.249 (pi 2.224 v 0.023 q 0.002 c 0.001) | plies 143 decisive 14% | buffer 159898 steps 2007 | 176.7 g/min eta 0.8h
[1100/10000] loss 2.246 (pi 2.221 v 0.023 q 0.002 c 0.001) | plies 141 decisive 16% | buffer 163331 steps 2054 | 179.5 g/min eta 0.8h
[1125/10000] loss 2.245 (pi 2.220 v 0.022 q 0.002 c 0.001) | plies 142 decisive 16% | buffer 167115 steps 2103 | 180.5 g/min eta 0.8h
[1150/10000] loss 2.246 (pi 2.221 v 0.023 q 0.002 c 0.001) | plies 142 decisive 16% | buffer 170753 steps 2150 | 181.1 g/min eta 0.8h
[1175/10000] loss 2.245 (pi 2.221 v 0.022 q 0.002 c 0.001) | plies 143 decisive 15% | buffer 174466 steps 2198 | 181.7 g/min eta 0.8h
[1200/10000] loss 2.244 (pi 2.220 v 0.021 q 0.002 c 0.001) | plies 144 decisive 14% | buffer 178147 steps 2246 | 182.2 g/min eta 0.8h
[1225/10000] loss 2.243 (pi 2.220 v 0.021 q 0.002 c 0.001) | plies 144 decisive 14% | buffer 181912 steps 2295 | 182.8 g/min eta 0.8h
[1250/10000] loss 2.244 (pi 2.220 v 0.022 q 0.002 c 0.001) | plies 145 decisive 14% | buffer 185658 steps 2344 | 182.3 g/min eta 0.8h
[1275/10000] loss 2.242 (pi 2.218 v 0.021 q 0.002 c 0.001) | plies 144 decisive 14% | buffer 189412 steps 2393 | 182.7 g/min eta 0.8h
