learner on mps, 10 workers, sims=16
[25/10000] warmup | plies 118 decisive 48% | buffer 2940 steps 0 | 213.4 g/min eta 0.8h
[975/10000] loss 2.463 (pi 2.435 v 0.026 q 0.002 c 0.001) | plies 152 decisive 15% | buffer 142771 steps 1784 | 200.8 g/min eta 0.7h
[1000/10000] loss 2.461 (pi 2.431 v 0.027 q 0.002 c 0.001) | plies 151 decisive 17% | buffer 146434 steps 1832 | 200.8 g/min eta 0.7h
  EVAL @1000: q-greedy 0-23-1 | policy-greedy 1-23-0 | search 7-1-0 (eval 25s)
[1025/10000] loss 2.463 (pi 2.434 v 0.027 q 0.002 c 0.001) | plies 150 decisive 16% | buffer 150122 steps 1880 | 181.9 g/min eta 0.8h
[1050/10000] loss 2.452 (pi 2.422 v 0.027 q 0.002 c 0.001) | plies 150 decisive 17% | buffer 153886 steps 1929 | 184.7 g/min eta 0.8h
[1075/10000] loss 2.448 (pi 2.419 v 0.027 q 0.002 c 0.001) | plies 150 decisive 17% | buffer 157751 steps 1978 | 187.6 g/min eta 0.8h
[1100/10000] loss 2.450 (pi 2.420 v 0.027 q 0.002 c 0.001) | plies 151 decisive 18% | buffer 161582 steps 2027 | 190.4 g/min eta 0.8h
[1125/10000] loss 2.446 (pi 2.417 v 0.027 q 0.002 c 0.001) | plies 151 decisive 16% | buffer 165435 steps 2076 | 191.3 g/min eta 0.8h
[1150/10000] loss 2.442 (pi 2.413 v 0.027 q 0.002 c 0.001) | plies 150 decisive 16% | buffer 169080 steps 2124 | 191.3 g/min eta 0.8h
[1175/10000] loss 2.438 (pi 2.409 v 0.027 q 0.002 c 0.001) | plies 151 decisive 14% | buffer 173065 steps 2174 | 192.0 g/min eta 0.8h
[1200/10000] loss 2.433 (pi 2.404 v 0.026 q 0.002 c 0.001) | plies 153 decisive 12% | buffer 176975 steps 2224 | 192.0 g/min eta 0.8h
[1225/10000] loss 2.432 (pi 2.404 v 0.026 q 0.002 c 0.001) | plies 152 decisive 12% | buffer 180606 steps 2271 | 192.7 g/min eta 0.8h
[1250/10000] loss 2.428 (pi 2.400 v 0.026 q 0.002 c 0.001) | plies 152 decisive 12% | buffer 184362 steps 2320 | 192.8 g/min eta 0.8h
[1275/10000] loss 2.426 (pi 2.398 v 0.026 q 0.002 c 0.001) | plies 152 decisive 12% | buffer 188191 steps 2369 | 193.3 g/min eta 0.8h
[1300/10000] loss 2.423 (pi 2.394 v 0.026 q 0.002 c 0.001) | plies 152 decisive 12% | buffer 191925 steps 2417 | 193.8 g/min eta 0.7h
[1325/10000] loss 2.421 (pi 2.393 v 0.026 q 0.002 c 0.001) | plies 151 decisive 12% | buffer 195673 steps 2465 | 193.8 g/min eta 0.7h
[1350/10000] loss 2.421 (pi 2.394 v 0.025 q 0.002 c 0.001) | plies 152 decisive 10% | buffer 199526 steps 2514 | 194.4 g/min eta 0.7h
[1375/10000] loss 2.419 (pi 2.393 v 0.025 q 0.002 c 0.001) | plies 152 decisive 10% | buffer 200000 steps 2563 | 194.6 g/min eta 0.7h
[1400/10000] loss 2.414 (pi 2.388 v 0.024 q 0.002 c 0.001) | plies 152 decisive 10% | buffer 200000 steps 2612 | 194.7 g/min eta 0.7h
[1425/10000] loss 2.413 (pi 2.388 v 0.023 q 0.001 c 0.001) | plies 153 decisive 8% | buffer 200000 steps 2661 | 194.8 g/min eta 0.7h
[1450/10000] loss 2.405 (pi 2.381 v 0.023 q 0.001 c 0.001) | plies 153 decisive 8% | buffer 200000 steps 2709 | 195.0 g/min eta 0.7h
[1475/10000] loss 2.401 (pi 2.378 v 0.022 q 0.001 c 0.001) | plies 152 decisive 8% | buffer 200000 steps 2757 | 195.4 g/min eta 0.7h
[1500/10000] loss 2.388 (pi 2.366 v 0.021 q 0.001 c 0.001) | plies 153 decisive 8% | buffer 200000 steps 2806 | 195.7 g/min eta 0.7h
  EVAL @1500: q-greedy 0-23-1 | policy-greedy 2-22-0 | search 7-1-0 (eval 18s)
[1525/10000] loss 2.384 (pi 2.361 v 0.021 q 0.001 c 0.001) | plies 153 decisive 8% | buffer 200000 steps 2855 | 185.8 g/min eta 0.8h
[1550/10000] loss 2.375 (pi 2.352 v 0.021 q 0.001 c 0.001) | plies 150 decisive 10% | buffer 200000 steps 2900 | 187.9 g/min eta 0.7h
[1575/10000] loss 2.366 (pi 2.343 v 0.021 q 0.001 c 0.001) | plies 149 decisive 11% | buffer 200000 steps 2947 | 189.9 g/min eta 0.7h
[1600/10000] loss 2.356 (pi 2.334 v 0.021 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 2997 | 191.8 g/min eta 0.7h
[1625/10000] loss 2.353 (pi 2.331 v 0.021 q 0.001 c 0.001) | plies 149 decisive 12% | buffer 200000 steps 3046 | 192.4 g/min eta 0.7h
[1650/10000] loss 2.347 (pi 2.325 v 0.020 q 0.001 c 0.001) | plies 148 decisive 14% | buffer 200000 steps 3093 | 192.4 g/min eta 0.7h
[1675/10000] loss 2.343 (pi 2.321 v 0.020 q 0.001 c 0.001) | plies 148 decisive 14% | buffer 200000 steps 3141 | 193.0 g/min eta 0.7h
[1700/10000] loss 2.335 (pi 2.313 v 0.020 q 0.001 c 0.001) | plies 147 decisive 16% | buffer 200000 steps 3190 | 193.2 g/min eta 0.7h
[1725/10000] loss 2.327 (pi 2.305 v 0.020 q 0.001 c 0.001) | plies 147 decisive 16% | buffer 200000 steps 3237 | 193.6 g/min eta 0.7h
[1750/10000] loss 2.320 (pi 2.298 v 0.020 q 0.001 c 0.001) | plies 150 decisive 14% | buffer 200000 steps 3287 | 193.7 g/min eta 0.7h
[1775/10000] loss 2.313 (pi 2.291 v 0.020 q 0.001 c 0.001) | plies 150 decisive 14% | buffer 200000 steps 3335 | 194.0 g/min eta 0.7h
[1800/10000] loss 2.307 (pi 2.285 v 0.020 q 0.001 c 0.001) | plies 149 decisive 16% | buffer 200000 steps 3383 | 194.2 g/min eta 0.7h
[1825/10000] loss 2.299 (pi 2.277 v 0.020 q 0.001 c 0.001) | plies 149 decisive 15% | buffer 200000 steps 3431 | 194.5 g/min eta 0.7h
