games,steps,buffer,avg_plies,decisive_rate,loss,loss_pi,loss_v,loss_q,loss_cons,q_w,q_d,q_l,pol_w,pol_d,pol_l,search_w,search_d,search_l,games_per_min
500,869,72030,147.8,0.145,2.5239,2.4898,0.0308,0.0026,0.0012,1,20,3,0,23,1,5,3,0,169.73
1000,1832,146434,150.9,0.17,2.4611,2.4313,0.0274,0.0019,0.0011,0,23,1,1,23,0,7,1,0,178.87
1500,2806,200000,153.0,0.075,2.3884,2.3657,0.0213,0.0011,0.0007,0,23,1,2,22,0,7,1,0,183.81
2000,3772,200000,149.1,0.14,2.2668,2.2451,0.0203,0.0009,0.001,2,22,0,0,24,0,5,3,0,184.14
2500,4734,200000,148.8,0.12,2.1882,2.17,0.0168,0.0009,0.0009,0,23,1,0,23,1,8,0,0,186.85
3000,5680,200000,143.9,0.175,2.1393,2.1177,0.0198,0.0012,0.0013,7,17,0,0,24,0,7,0,1,189.49
3500,6588,200000,131.7,0.42,2.1097,2.0789,0.0274,0.002,0.0026,6,18,0,0,24,0,8,0,0,193.02
4000,7443,200000,118.0,0.66,2.0832,2.0344,0.0424,0.0038,0.005,9,15,0,1,23,0,7,1,0,198.96
4500,8279,200000,122.8,0.555,2.0758,2.0087,0.0564,0.0068,0.0077,4,20,0,1,23,0,8,0,0,203.81
5000,9096,200000,115.7,0.595,2.0542,1.9778,0.0626,0.0089,0.0099,15,9,0,6,18,0,8,0,0,208.81
5500,9915,200000,118.6,0.58,2.0259,1.9441,0.0672,0.0096,0.01,4,20,0,7,17,0,8,0,0,212.81
6000,10726,200000,115.2,0.625,1.9963,1.9141,0.0686,0.0092,0.0087,11,13,0,10,14,0,8,0,0,216.26
6500,11533,200000,118.3,0.575,1.9853,1.9002,0.0717,0.0092,0.0081,9,15,0,12,12,0,8,0,0,219.36
7000,12359,200000,117.0,0.62,1.9596,1.8739,0.0724,0.0091,0.0083,6,18,0,8,16,0,8,0,0,222.52
7500,13185,200000,120.7,0.55,1.9256,1.8406,0.0718,0.0092,0.0079,9,15,0,9,15,0,8,0,0,225.05
8000,14024,200000,119.8,0.565,1.9088,1.8259,0.0694,0.0094,0.0081,9,15,0,7,17,0,8,0,0,227.27
8500,14848,200000,120.7,0.545,1.8993,1.8172,0.069,0.0094,0.0073,2,22,0,11,13,0,8,0,0,229.03
9000,15677,200000,118.2,0.59,1.8626,1.7798,0.0702,0.0093,0.0067,3,21,0,8,16,0,8,0,0,230.95
9500,16505,200000,120.8,0.555,1.8452,1.7591,0.0733,0.0094,0.0068,7,17,0,11,13,0,8,0,0,232.57
10000,17355,200000,123.3,0.51,1.8263,1.741,0.0723,0.0097,0.0067,6,18,0,5,19,0,8,0,0,233.66
