warm start from runs/run100k/ckpt_100000.pt (2,773,699 params)
learner on mps, 6 workers x 48 games (cpu, 2 threads), sims=32, net 2,773,699 params, study=on, gate at 0 games
  GATE OPEN @1: study/resignation enabled
[25/60000] warmup | plies 49 decisive 96% | buffer 1229 steps 0 | 12.3 g/min eta 81.5h
[975/60000] loss 1.742 (pi 1.378 v 0.067 q 0.023 c 0.058) | plies 101 decisive 82% | buffer 114557 steps 1634 | 61.4 g/min eta 16.0h
[1000/60000] loss 1.741 (pi 1.377 v 0.067 q 0.024 c 0.057) | plies 104 decisive 82% | buffer 117862 steps 1687 | 61.7 g/min eta 15.9h
  EVAL @1000: q-greedy 6-18-0 | policy-greedy 5-19-0 | search 8-0-0 (eval 69s)
[1025/60000] loss 1.751 (pi 1.386 v 0.068 q 0.024 c 0.059) | plies 105 decisive 80% | buffer 121025 steps 1737 | 58.3 g/min eta 16.9h
[1050/60000] loss 1.746 (pi 1.382 v 0.067 q 0.024 c 0.058) | plies 101 decisive 84% | buffer 123620 steps 1777 | 59.4 g/min eta 16.5h
[1075/60000] loss 1.754 (pi 1.386 v 0.067 q 0.024 c 0.058) | plies 100 decisive 84% | buffer 126442 steps 1822 | 60.6 g/min eta 16.2h
[1100/60000] loss 1.754 (pi 1.384 v 0.067 q 0.024 c 0.059) | plies 100 decisive 83% | buffer 129535 steps 1870 | 61.2 g/min eta 16.0h
[1125/60000] loss 1.765 (pi 1.394 v 0.068 q 0.024 c 0.058) | plies 100 decisive 82% | buffer 132421 steps 1916 | 61.6 g/min eta 15.9h
[1150/60000] loss 1.764 (pi 1.395 v 0.067 q 0.024 c 0.058) | plies 102 decisive 79% | buffer 135644 steps 1966 | 61.8 g/min eta 15.9h
[1175/60000] loss 1.764 (pi 1.394 v 0.067 q 0.024 c 0.058) | plies 104 decisive 76% | buffer 138593 steps 2010 | 61.9 g/min eta 15.9h
[1200/60000] loss 1.767 (pi 1.396 v 0.067 q 0.024 c 0.057) | plies 101 decisive 78% | buffer 141313 steps 2054 | 61.8 g/min eta 15.9h
[1225/60000] loss 1.770 (pi 1.399 v 0.067 q 0.024 c 0.057) | plies 100 decisive 78% | buffer 144293 steps 2101 | 61.9 g/min eta 15.8h
[1250/60000] loss 1.776 (pi 1.405 v 0.068 q 0.025 c 0.056) | plies 103 decisive 75% | buffer 147492 steps 2152 | 62.3 g/min eta 15.7h
[1275/60000] loss 1.786 (pi 1.412 v 0.068 q 0.024 c 0.056) | plies 103 decisive 74% | buffer 150186 steps 2193 | 62.2 g/min eta 15.7h
[1300/60000] loss 1.796 (pi 1.423 v 0.067 q 0.025 c 0.055) | plies 103 decisive 76% | buffer 153274 steps 2241 | 62.2 g/min eta 15.7h
[1325/60000] loss 1.794 (pi 1.420 v 0.067 q 0.025 c 0.055) | plies 102 decisive 76% | buffer 155979 steps 2280 | 62.4 g/min eta 15.7h
[1350/60000] loss 1.792 (pi 1.420 v 0.067 q 0.025 c 0.057) | plies 100 decisive 77% | buffer 159024 steps 2325 | 62.6 g/min eta 15.6h
[1375/60000] loss 1.799 (pi 1.426 v 0.067 q 0.025 c 0.056) | plies 101 decisive 78% | buffer 162002 steps 2371 | 62.6 g/min eta 15.6h
[1400/60000] loss 1.803 (pi 1.427 v 0.069 q 0.025 c 0.056) | plies 101 decisive 78% | buffer 164919 steps 2414 | 62.8 g/min eta 15.6h
[1425/60000] loss 1.802 (pi 1.428 v 0.069 q 0.025 c 0.055) | plies 101 decisive 78% | buffer 167822 steps 2456 | 63.1 g/min eta 15.5h
[1450/60000] loss 1.807 (pi 1.435 v 0.069 q 0.025 c 0.055) | plies 102 decisive 77% | buffer 171050 steps 2505 | 63.2 g/min eta 15.4h
[1475/60000] loss 1.812 (pi 1.438 v 0.070 q 0.025 c 0.055) | plies 102 decisive 78% | buffer 173942 steps 2549 | 63.3 g/min eta 15.4h
[1500/60000] loss 1.816 (pi 1.443 v 0.069 q 0.025 c 0.054) | plies 101 decisive 78% | buffer 176688 steps 2593 | 63.1 g/min eta 15.5h
[1525/60000] loss 1.811 (pi 1.437 v 0.069 q 0.025 c 0.054) | plies 102 decisive 78% | buffer 179499 steps 2638 | 63.4 g/min eta 15.4h
[1550/60000] loss 1.819 (pi 1.442 v 0.070 q 0.026 c 0.055) | plies 105 decisive 76% | buffer 182989 steps 2692 | 63.4 g/min eta 15.4h
[1575/60000] loss 1.822 (pi 1.442 v 0.069 q 0.026 c 0.055) | plies 104 decisive 76% | buffer 185964 steps 2738 | 63.4 g/min eta 15.4h
[1600/60000] loss 1.830 (pi 1.448 v 0.070 q 0.026 c 0.054) | plies 104 decisive 76% | buffer 188764 steps 2780 | 63.6 g/min eta 15.3h
[1625/60000] loss 1.837 (pi 1.453 v 0.070 q 0.026 c 0.054) | plies 103 decisive 77% | buffer 191541 steps 2823 | 63.6 g/min eta 15.3h
[1650/60000] loss 1.841 (pi 1.458 v 0.071 q 0.026 c 0.055) | plies 101 decisive 79% | buffer 194406 steps 2869 | 63.8 g/min eta 15.2h
[1675/60000] loss 1.844 (pi 1.458 v 0.071 q 0.027 c 0.055) | plies 101 decisive 78% | buffer 197363 steps 2912 | 63.8 g/min eta 15.2h
[1700/60000] loss 1.848 (pi 1.463 v 0.070 q 0.027 c 0.055) | plies 101 decisive 79% | buffer 200000 steps 2955 | 64.1 g/min eta 15.2h
[1725/60000] loss 1.838 (pi 1.456 v 0.070 q 0.026 c 0.056) | plies 100 decisive 80% | buffer 200000 steps 3000 | 64.1 g/min eta 15.2h
