learner on mps, 6 workers x 48 games (cpu, 2 threads), sims=16, net 2,772,161 params, study=on, gate at 2000 games
[25/100000] warmup | plies 42 decisive 100% | buffer 1054 steps 0 | 19.0 g/min eta 87.6h
[1000/100000] loss 3.083 (pi 3.011 v 0.054 q 0.015 c 0.006) | plies 135 decisive 34% | buffer 135107 steps 1721 | 100.6 g/min eta 16.4h
  EVAL @1000: q-greedy 0-24-0 | policy-greedy 0-21-3 | search 5-3-0 (eval 37s)
[1025/100000] loss 3.078 (pi 3.006 v 0.054 q 0.015 c 0.006) | plies 132 decisive 35% | buffer 137900 steps 1760 | 93.5 g/min eta 17.6h
[1050/100000] loss 3.077 (pi 3.005 v 0.054 q 0.015 c 0.007) | plies 132 decisive 34% | buffer 141251 steps 1803 | 95.1 g/min eta 17.3h
[1075/100000] loss 3.068 (pi 2.997 v 0.054 q 0.015 c 0.006) | plies 131 decisive 35% | buffer 144663 steps 1848 | 96.6 g/min eta 17.1h
[1100/100000] loss 3.072 (pi 3.001 v 0.054 q 0.014 c 0.006) | plies 128 decisive 38% | buffer 148004 steps 1894 | 98.0 g/min eta 16.8h
[1125/100000] loss 3.065 (pi 2.994 v 0.054 q 0.014 c 0.006) | plies 126 decisive 44% | buffer 151281 steps 1941 | 98.4 g/min eta 16.8h
[1150/100000] loss 3.058 (pi 2.987 v 0.054 q 0.014 c 0.006) | plies 126 decisive 44% | buffer 154759 steps 1988 | 98.4 g/min eta 16.7h
[1175/100000] loss 3.060 (pi 2.989 v 0.054 q 0.014 c 0.006) | plies 128 decisive 44% | buffer 157862 steps 2031 | 99.0 g/min eta 16.6h
[1200/100000] loss 3.060 (pi 2.989 v 0.055 q 0.013 c 0.006) | plies 131 decisive 42% | buffer 161369 steps 2078 | 99.7 g/min eta 16.5h
[1225/100000] loss 3.053 (pi 2.982 v 0.055 q 0.013 c 0.006) | plies 136 decisive 40% | buffer 165032 steps 2127 | 100.1 g/min eta 16.4h
[1250/100000] loss 3.047 (pi 2.977 v 0.055 q 0.013 c 0.006) | plies 138 decisive 36% | buffer 168850 steps 2176 | 101.3 g/min eta 16.2h
[1275/100000] loss 3.045 (pi 2.974 v 0.055 q 0.013 c 0.006) | plies 139 decisive 36% | buffer 172487 steps 2224 | 102.5 g/min eta 16.0h
[1300/100000] loss 3.043 (pi 2.973 v 0.055 q 0.013 c 0.005) | plies 138 decisive 38% | buffer 175534 steps 2267 | 101.8 g/min eta 16.2h
[1325/100000] loss 3.044 (pi 2.974 v 0.055 q 0.013 c 0.005) | plies 137 decisive 37% | buffer 178779 steps 2311 | 101.6 g/min eta 16.2h
[1350/100000] loss 3.041 (pi 2.970 v 0.055 q 0.013 c 0.005) | plies 136 decisive 38% | buffer 181926 steps 2355 | 101.5 g/min eta 16.2h
[1375/100000] loss 3.036 (pi 2.966 v 0.055 q 0.012 c 0.005) | plies 136 decisive 36% | buffer 184986 steps 2398 | 102.0 g/min eta 16.1h
[1400/100000] loss 3.030 (pi 2.960 v 0.055 q 0.012 c 0.006) | plies 134 decisive 38% | buffer 188255 steps 2443 | 101.8 g/min eta 16.1h
[1425/100000] loss 3.024 (pi 2.953 v 0.056 q 0.012 c 0.005) | plies 133 decisive 39% | buffer 191582 steps 2489 | 102.3 g/min eta 16.1h
[1450/100000] loss 3.024 (pi 2.953 v 0.056 q 0.012 c 0.006) | plies 131 decisive 42% | buffer 195083 steps 2536 | 102.0 g/min eta 16.1h
[1475/100000] loss 3.020 (pi 2.949 v 0.056 q 0.012 c 0.006) | plies 130 decisive 43% | buffer 198439 steps 2582 | 101.9 g/min eta 16.1h
[1500/100000] loss 3.016 (pi 2.945 v 0.057 q 0.012 c 0.006) | plies 131 decisive 42% | buffer 200000 steps 2626 | 102.4 g/min eta 16.0h
[1525/100000] loss 3.001 (pi 2.932 v 0.055 q 0.011 c 0.006) | plies 132 decisive 40% | buffer 200000 steps 2672 | 102.8 g/min eta 16.0h
[1550/100000] loss 2.991 (pi 2.925 v 0.053 q 0.011 c 0.005) | plies 135 decisive 38% | buffer 200000 steps 2720 | 102.8 g/min eta 16.0h
[1575/100000] loss 2.977 (pi 2.913 v 0.051 q 0.010 c 0.005) | plies 138 decisive 36% | buffer 200000 steps 2767 | 103.5 g/min eta 15.8h
[1600/100000] loss 2.966 (pi 2.904 v 0.050 q 0.009 c 0.005) | plies 140 decisive 32% | buffer 200000 steps 2816 | 104.3 g/min eta 15.7h
[1625/100000] loss 2.955 (pi 2.894 v 0.050 q 0.009 c 0.005) | plies 141 decisive 32% | buffer 200000 steps 2863 | 104.0 g/min eta 15.8h
[1650/100000] loss 2.937 (pi 2.877 v 0.050 q 0.008 c 0.005) | plies 138 decisive 34% | buffer 200000 steps 2905 | 103.8 g/min eta 15.8h
[1675/100000] loss 2.925 (pi 2.866 v 0.050 q 0.008 c 0.005) | plies 139 decisive 31% | buffer 200000 steps 2950 | 103.8 g/min eta 15.8h
